EXAMPLE_ID,RANK_1,RANK_2,RANK_3,RANK_4,RANK_5
valid_0001,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,MEASURE VIA CD
valid_0002,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,MEASURE PAD OPENING,CLEAN AFTER METAL ETCH
valid_0003,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,MEASURE LINE WIDTH
valid_0004,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0005,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,MEASURE LINE WIDTH
valid_0006,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST
valid_0007,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE LINE WIDTH,MEASURE SURFACE UNIFORMITY
valid_0008,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST
valid_0009,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE SURFACE UNIFORMITY,IMPLANT SOURCE REGION,DEPOSIT METAL SEED
valid_0010,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0011,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,CLEAN AFTER VIA ETCH
valid_0012,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0013,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY
valid_0014,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0015,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,DEPOSIT METAL SEED,MEASURE LINE WIDTH
valid_0016,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0017,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,DEPOSIT BARRIER METAL,STRIP RESIST,CLEAN AFTER POLY ETCH
valid_0018,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST
valid_0019,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0020,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0021,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER METAL ETCH,STRIP RESIST,DEPOSIT BARRIER METAL
valid_0022,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0023,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,DEPOSIT BARRIER METAL,STRIP RESIST
valid_0024,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0025,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER FIELD ETCH,STRIP RESIST
valid_0026,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0027,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,VIA ETCH,DIELECTRIC ETCH VIA
valid_0028,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,DEVELOP PAD WINDOW,OPEN BOND PAD WINDOW,OPEN PAD WINDOW
valid_0029,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,VIA ETCH,DIELECTRIC ETCH VIA
valid_0030,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0031,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY
valid_0032,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0033,FILL VIA METAL,DEPOSIT METAL SEED,CMP VIA FILL,CMP METAL,FILL VIA TUNGSTEN
valid_0034,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0035,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0036,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH,MEASURE PAD OPENING
valid_0037,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,MEASURE LINE WIDTH
valid_0038,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0039,CMP VIA FILL,CMP METAL,FILL VIA METAL,MEASURE VIA RESISTANCE,MEASURE CONTACT RESISTANCE
valid_0040,MEASURE PAD OPENING,BACKSIDE CLEAN,CLEAN PAD OPENING,BACKSIDE CLEAN FINAL,BACKSIDE THINNING CHECK
valid_0041,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,DEPOSIT METAL SEED
valid_0042,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0043,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,DEPOSIT METAL SEED
valid_0044,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0045,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,DEPOSIT METAL SEED
valid_0046,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0047,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,DEPOSIT PASSIVATION
valid_0048,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0049,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0050,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0051,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0052,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0053,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,DEPOSIT BARRIER METAL,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH
valid_0054,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0055,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,MEASURE VIA CD
valid_0056,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,MEASURE PAD OPENING,CLEAN AFTER METAL ETCH
valid_0057,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,VIA ETCH,DIELECTRIC ETCH VIA
valid_0058,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0059,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE LINE WIDTH,MEASURE SURFACE UNIFORMITY
valid_0060,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0061,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0062,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0063,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,VIA ETCH,HARD BAKE
valid_0064,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0065,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,DEPOSIT METAL SEED
valid_0066,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0067,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,MEASURE VIA CD
valid_0068,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,HARD BAKE,PASSIVATION ETCH PAD OPENING
valid_0069,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,STRIP RESIST,DEPOSIT BARRIER METAL
valid_0070,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0071,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD
valid_0072,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,STRIP RESIST,DEVELOP PAD WINDOW,STRIP PHOTORESIST
valid_0073,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,CLEAN AFTER VIA ETCH
valid_0074,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0075,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY
valid_0076,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0077,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,STRIP RESIST
valid_0078,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0079,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE SURFACE UNIFORMITY,IMPLANT SOURCE REGION,MEASURE LINE WIDTH
valid_0080,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0081,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0082,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0083,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,VIA ETCH,DIELECTRIC ETCH VIA
valid_0084,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,DEVELOP PHOTORESIST
valid_0085,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,DEPOSIT METAL SEED,MEASURE SURFACE UNIFORMITY
valid_0086,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH,MEASURE PAD OPENING
valid_0087,HARD BAKE,VIA ETCH,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,METAL ETCH
valid_0088,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO,OPEN BOND PAD WINDOW,OPEN PAD WINDOW,DEVELOP PAD WINDOW
valid_0089,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,DEPOSIT BARRIER METAL,STRIP RESIST
valid_0090,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING
valid_0091,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE LINE WIDTH,IMPLANT SOURCE REGION
valid_0092,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0093,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,VIA ETCH,DIELECTRIC ETCH VIA
valid_0094,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0095,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE LINE WIDTH,MEASURE SURFACE UNIFORMITY
valid_0096,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0097,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,STRIP RESIST,CLEAN AFTER FIELD ETCH
valid_0098,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0099,FILL VIA METAL,CMP VIA FILL,DEPOSIT METAL SEED,CMP METAL,FILL VIA TUNGSTEN
valid_0100,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,MEASURE PAD OPENING,CLEAN AFTER METAL ETCH
valid_0101,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,STRIP RESIST,CLEAN AFTER METAL ETCH,DEPOSIT BARRIER METAL
valid_0102,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0103,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0104,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0105,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0106,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0107,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,DEPOSIT PASSIVATION
valid_0108,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0109,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER FIELD ETCH,STRIP RESIST
valid_0110,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0111,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER METAL ETCH,CLEAN AFTER POLY ETCH,STRIP RESIST
valid_0112,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0113,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,CLEAN AFTER VIA ETCH
valid_0114,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,MEASURE PAD OPENING,CLEAN AFTER METAL ETCH
valid_0115,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY
valid_0116,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING
valid_0117,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,DEPOSIT BARRIER METAL,MEASURE VIA CD
valid_0118,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0119,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0120,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,MEASURE PAD OPENING,CLEAN AFTER METAL ETCH
valid_0121,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE SURFACE UNIFORMITY,IMPLANT SOURCE REGION
valid_0122,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0123,FILL VIA METAL,CMP VIA FILL,CMP METAL,DEPOSIT METAL SEED,FILL VIA TUNGSTEN
valid_0124,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH
valid_0125,MEASURE VIA CD,DEPOSIT BARRIER METAL,MEASURE SURFACE UNIFORMITY,IMPLANT SOURCE REGION,DEPOSIT METAL SEED
valid_0126,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0127,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,DEPOSIT BARRIER METAL,STRIP RESIST
valid_0128,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0129,HARD BAKE,VIA ETCH THROUGH DIELECTRIC,DIELECTRIC ETCH VIA,VIA ETCH,FIELD OXIDE ETCH
valid_0130,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0131,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,MEASURE VIA CD
valid_0132,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,MEASURE PAD OPENING,CLEAN AFTER METAL ETCH
valid_0133,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,DEPOSIT PASSIVATION
valid_0134,CLEAN PAD OPENING,STRIP RESIST,MEASURE PAD OPENING,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH
valid_0135,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,DEPOSIT PASSIVATION
valid_0136,CLEAN PAD OPENING,STRIP RESIST,STRIP PHOTORESIST,CLEAN AFTER METAL ETCH,MEASURE PAD OPENING
valid_0137,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE LINE WIDTH,MEASURE SURFACE UNIFORMITY
valid_0138,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,STRIP PHOTORESIST
valid_0139,CLEAN AFTER VIA ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER POLY ETCH,DEPOSIT BARRIER METAL,STRIP RESIST
valid_0140,STRIP RESIST,STRIP PHOTORESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING
valid_0141,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
valid_0142,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0143,DEPOSIT METAL SEED,DEPOSIT TUNGSTEN SEED,DEPOSIT BARRIER METAL,FILL VIA METAL,DEPOSIT PASSIVATION
valid_0144,PASSIVATION ETCH,PASSIVATION ETCH PAD OPENING,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0145,MEASURE VIA CD,DEPOSIT BARRIER METAL,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY,MEASURE LINE WIDTH
valid_0146,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH,DEVELOP PAD WINDOW,STRIP RESIST,VIA OPENING INSPECTION
valid_0147,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE LINE WIDTH,IMPLANT SOURCE REGION
valid_0148,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0149,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE LINE WIDTH,IMPLANT SOURCE REGION
valid_0150,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0151,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,MEASURE LINE WIDTH,MEASURE SURFACE UNIFORMITY
valid_0152,DEVELOP PAD WINDOW,DEVELOP PHOTORESIST,POST EXPOSE BAKE,PAD WINDOW LITHO,OPEN PAD WINDOW LITHO
valid_0153,MEASURE VIA CD,DEPOSIT BARRIER METAL,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,MEASURE SURFACE UNIFORMITY
valid_0154,DEVELOP PHOTORESIST,DEVELOP PAD WINDOW,POST EXPOSE BAKE,PAD WINDOW LITHO,PASSIVATION ETCH PAD OPENING
valid_0155,CLEAN AFTER VIA ETCH,CLEAN AFTER POLY ETCH,CLEAN AFTER FIELD ETCH,CLEAN AFTER METAL ETCH,STRIP RESIST
valid_0156,STRIP PHOTORESIST,STRIP RESIST,STRIP RESIST LEVEL 2,PASSIVATION ETCH PAD OPENING,PASSIVATION ETCH
valid_0157,DEPOSIT BARRIER METAL,MEASURE VIA CD,DEPOSIT METAL SEED,IMPLANT SOURCE REGION,DEPOSIT PASSIVATION LAYER
